dataset_id,table_id,column_name,code_value,code_label,code_description,vocabulary_iri,term_iri,term_type
fraser-coho-workshop,escapement,ESTIMATE_METHOD,Area Under the Curve,Area Under the Curve,"The official dictionary describes integrating abundance over time and dividing the area by survey life, the average period an individual remains alive and available for observation in the survey area, to derive annual abundance. Evidence: raw_data/official-nuseds-dictionary.csv: ESTIMATE_METHOD; raw_data/nuseds-fraser-coho-2023-2024.csv; source URL: https://api-proxy.edh-cde.dfo-mpo.gc.ca/catalogue/records/c48669a3-045b-400d-b730-48aafe8c5ee6/attachments/Data_Dictionary_NuSEDS_EN.csv Retrieved: 2026-09-08T16:50:39.167837+00:00 Caveat: Current official dictionary retrieved 2026-09-08; it may postdate the 2025 workbook used for this slice. Confirm historical/source-specific applicability where material. Open question: Which abundance observations, survey-life assumption and coverage apply to this record?",,,
fraser-coho-workshop,escapement,ESTIMATE_METHOD,Peak Live * Expansion,Peak Live * Expansion,"The official dictionary describes a source use involving spawner counts from overflights multiplied by an expansion factor. Evidence: raw_data/official-nuseds-dictionary.csv: ESTIMATE_METHOD; raw_data/nuseds-fraser-coho-2023-2024.csv; source URL: https://api-proxy.edh-cde.dfo-mpo.gc.ca/catalogue/records/c48669a3-045b-400d-b730-48aafe8c5ee6/attachments/Data_Dictionary_NuSEDS_EN.csv Retrieved: 2026-09-08T16:50:39.167837+00:00 Caveat: Current official dictionary retrieved 2026-09-08; it may postdate the 2025 workbook used for this slice. Confirm historical/source-specific applicability where material. Open question: What peak observation and expansion factor were used, and does the documented overflight use apply to this particular record?",,,
fraser-coho-workshop,escapement,ESTIMATE_METHOD,Sonar-DIDSON,Sonar-DIDSON,The official dictionary records a 2022 name change from Didson Counter to Sonar-DIDSON. This establishes label history rather than a complete estimation procedure. Evidence: raw_data/official-nuseds-dictionary.csv: ESTIMATE_METHOD; raw_data/nuseds-fraser-coho-2023-2024.csv; source URL: https://api-proxy.edh-cde.dfo-mpo.gc.ca/catalogue/records/c48669a3-045b-400d-b730-48aafe8c5ee6/attachments/Data_Dictionary_NuSEDS_EN.csv Retrieved: 2026-09-08T16:50:39.167837+00:00 Caveat: Current official dictionary retrieved 2026-09-08; it may postdate the 2025 workbook used for this slice. Confirm historical/source-specific applicability where material. Open question: What sonar sampling and estimation protocol applies to the record?,,,
fraser-coho-workshop,escapement,ESTIMATE_METHOD,Fixed Site Census,Fixed Site Census,"The official dictionary describes combining one or more raw observations into one estimate, with daily fence observations combined into an annual estimate as an example. Evidence: raw_data/official-nuseds-dictionary.csv: ESTIMATE_METHOD; raw_data/nuseds-fraser-coho-2023-2024.csv; source URL: https://api-proxy.edh-cde.dfo-mpo.gc.ca/catalogue/records/c48669a3-045b-400d-b730-48aafe8c5ee6/attachments/Data_Dictionary_NuSEDS_EN.csv Retrieved: 2026-09-08T16:50:39.167837+00:00 Caveat: Current official dictionary retrieved 2026-09-08; it may postdate the 2025 workbook used for this slice. Confirm historical/source-specific applicability where material. Open question: What fixed site, observations, period and combination rule apply here?",,,
fraser-coho-workshop,escapement,ESTIMATE_METHOD,Sonar-ARIS,Sonar-ARIS,"The source records Sonar-ARIS as the estimate method. Its entry in the official dictionary is N/A, so that entry supplies no operational procedure definition. Evidence: raw_data/official-nuseds-dictionary.csv: ESTIMATE_METHOD; raw_data/nuseds-fraser-coho-2023-2024.csv; source URL: https://api-proxy.edh-cde.dfo-mpo.gc.ca/catalogue/records/c48669a3-045b-400d-b730-48aafe8c5ee6/attachments/Data_Dictionary_NuSEDS_EN.csv Retrieved: 2026-09-08T16:50:39.167837+00:00 Caveat: Current official dictionary retrieved 2026-09-08; it may postdate the 2025 workbook used for this slice. Confirm historical/source-specific applicability where material. Open question: What sonar sampling and estimation protocol applies to the record?",,,
fraser-coho-workshop,escapement,ESTIMATE_METHOD,Fence,Fence,Fence is an observed value in this slice. The official dictionary lists Fence among enumeration methods but does not provide a separate Fence entry in its estimate-method definitions. Evidence: raw_data/official-nuseds-dictionary.csv: ESTIMATE_METHOD and ENUMERATION_METHODS; raw_data/nuseds-fraser-coho-2023-2024.csv; source URL: https://api-proxy.edh-cde.dfo-mpo.gc.ca/catalogue/records/c48669a3-045b-400d-b730-48aafe8c5ee6/attachments/Data_Dictionary_NuSEDS_EN.csv Retrieved: 2026-09-08T16:50:39.167837+00:00 Caveat: Current official dictionary retrieved 2026-09-08; it may postdate the 2025 workbook used for this slice. Confirm historical/source-specific applicability where material. Open question: How was the enumeration information converted into the estimate recorded under ESTIMATE_METHOD? Obtain a procedure source rather than assuming equivalence with Fixed Site Census.,,,
fraser-coho-workshop,escapement,ESTIMATE_CLASSIFICATION,TRUE ABUNDANCE (TYPE-1),TRUE ABUNDANCE (TYPE-1),"Source estimate-classification label TRUE ABUNDANCE (TYPE-1). The official dictionary describes the Type-1 to Type-6 scheme in terms of accuracy and precision, with Type-1 the most accurate and Type-6 the least accurate; it does not give a separate operational definition for this exact label. Evidence: raw_data/official-nuseds-dictionary.csv: ESTIMATE_CLASSIFICATION; raw_data/nuseds-fraser-coho-2023-2024.csv; source URL: https://api-proxy.edh-cde.dfo-mpo.gc.ca/catalogue/records/c48669a3-045b-400d-b730-48aafe8c5ee6/attachments/Data_Dictionary_NuSEDS_EN.csv Retrieved: 2026-09-08T16:50:39.167837+00:00 Caveat: Current official dictionary retrieved 2026-09-08; it may postdate the 2025 workbook used for this slice. Confirm historical/source-specific applicability where material. Open question: Which classification guidance defines Type-1 criteria and justified comparisons? Do not treat the label as proof of an exact count or universal comparability.",,,
fraser-coho-workshop,escapement,ESTIMATE_CLASSIFICATION,NO SURVEY THIS YEAR,NO SURVEY THIS YEAR,The official dictionary defines this classification as the stream not being inspected for that species in that year. Evidence: raw_data/official-nuseds-dictionary.csv: ESTIMATE_CLASSIFICATION; raw_data/nuseds-fraser-coho-2023-2024.csv; source URL: https://api-proxy.edh-cde.dfo-mpo.gc.ca/catalogue/records/c48669a3-045b-400d-b730-48aafe8c5ee6/attachments/Data_Dictionary_NuSEDS_EN.csv Retrieved: 2026-09-08T16:50:39.167837+00:00 Caveat: Current official dictionary retrieved 2026-09-08; it may postdate the 2025 workbook used for this slice. Confirm historical/source-specific applicability where material. Open question: How does this classification relate to the estimate and other source fields on the particular record? It does not convert an absent estimate to zero.,,,
fraser-coho-workshop,escapement,ESTIMATE_CLASSIFICATION,RELATIVE ABUNDANCE (TYPE-3),RELATIVE ABUNDANCE (TYPE-3),"Source estimate-classification label RELATIVE ABUNDANCE (TYPE-3). The official dictionary describes the Type-1 to Type-6 scheme in terms of accuracy and precision, with Type-1 the most accurate and Type-6 the least accurate; it does not give a separate operational definition for this exact label. Evidence: raw_data/official-nuseds-dictionary.csv: ESTIMATE_CLASSIFICATION; raw_data/nuseds-fraser-coho-2023-2024.csv; source URL: https://api-proxy.edh-cde.dfo-mpo.gc.ca/catalogue/records/c48669a3-045b-400d-b730-48aafe8c5ee6/attachments/Data_Dictionary_NuSEDS_EN.csv Retrieved: 2026-09-08T16:50:39.167837+00:00 Caveat: Current official dictionary retrieved 2026-09-08; it may postdate the 2025 workbook used for this slice. Confirm historical/source-specific applicability where material. Open question: Which classification guidance defines Type-3 criteria and justified comparisons? Do not treat the label as proof of an exact count or universal comparability.",,,
fraser-coho-workshop,escapement,ESTIMATE_CLASSIFICATION,RELATIVE ABUNDANCE (TYPE-4),RELATIVE ABUNDANCE (TYPE-4),"Source estimate-classification label RELATIVE ABUNDANCE (TYPE-4). The official dictionary describes the Type-1 to Type-6 scheme in terms of accuracy and precision, with Type-1 the most accurate and Type-6 the least accurate; it does not give a separate operational definition for this exact label. Evidence: raw_data/official-nuseds-dictionary.csv: ESTIMATE_CLASSIFICATION; raw_data/nuseds-fraser-coho-2023-2024.csv; source URL: https://api-proxy.edh-cde.dfo-mpo.gc.ca/catalogue/records/c48669a3-045b-400d-b730-48aafe8c5ee6/attachments/Data_Dictionary_NuSEDS_EN.csv Retrieved: 2026-09-08T16:50:39.167837+00:00 Caveat: Current official dictionary retrieved 2026-09-08; it may postdate the 2025 workbook used for this slice. Confirm historical/source-specific applicability where material. Open question: Which classification guidance defines Type-4 criteria and justified comparisons? Do not treat the label as proof of an exact count or universal comparability.",,,
fraser-coho-workshop,escapement,ESTIMATE_CLASSIFICATION,RELATIVE ABUNDANCE (TYPE-5),RELATIVE ABUNDANCE (TYPE-5),"Source estimate-classification label RELATIVE ABUNDANCE (TYPE-5). The official dictionary describes the Type-1 to Type-6 scheme in terms of accuracy and precision, with Type-1 the most accurate and Type-6 the least accurate; it does not give a separate operational definition for this exact label. Evidence: raw_data/official-nuseds-dictionary.csv: ESTIMATE_CLASSIFICATION; raw_data/nuseds-fraser-coho-2023-2024.csv; source URL: https://api-proxy.edh-cde.dfo-mpo.gc.ca/catalogue/records/c48669a3-045b-400d-b730-48aafe8c5ee6/attachments/Data_Dictionary_NuSEDS_EN.csv Retrieved: 2026-09-08T16:50:39.167837+00:00 Caveat: Current official dictionary retrieved 2026-09-08; it may postdate the 2025 workbook used for this slice. Confirm historical/source-specific applicability where material. Open question: Which classification guidance defines Type-5 criteria and justified comparisons? Do not treat the label as proof of an exact count or universal comparability.",,,
fraser-coho-workshop,escapement,ESTIMATE_STAGE,FINAL,FINAL,"Final stage of the source summary estimate document: the official dictionary says all data have been incorporated into analysis and verification steps completed, with changes not anticipated. This status concerns the source estimate. Evidence: raw_data/official-nuseds-dictionary.csv: ESTIMATE_STAGE; raw_data/nuseds-fraser-coho-2023-2024.csv; source URL: https://api-proxy.edh-cde.dfo-mpo.gc.ca/catalogue/records/c48669a3-045b-400d-b730-48aafe8c5ee6/attachments/Data_Dictionary_NuSEDS_EN.csv Retrieved: 2026-09-08T16:50:39.167837+00:00 Caveat: Current official dictionary retrieved 2026-09-08; it may postdate the 2025 workbook used for this slice. Confirm historical/source-specific applicability where material. Open question: Confirm source version/currentness for reuse. FINAL does not approve the workshop graph, dictionary, semantic selections or publication.",,,
